title,company,location,salary,experience,degree,tags,job_description,job_url,source,scraped_at
大数据JavaaScript程序员双二休,山东胜兴城市服务有限公司,上海,1.6-1.7万,经验不限,高中,,岗位内容：|1. 开发和维护现代 Web 应用程序，使用 JavaScript、HTML 和 CSS。|2. 设计并开发前端交互界面，确保用户体验优良。|3. 与团队合作，解决技术问题和提高代码质量。|任职要求：|1. 熟练掌握 JavaScript 的核心概念和语法。|2. 能够使用 React 或 Vue.js 等流行的前端框架进行 Web 开发。|3. 了解常用的前端工具链，如 Webpack、Babel 等。|4. 具备良好的沟通能力和团队合作精神。,http://www.zhaopin.com/jobdetail/CCL1477986240J40930530202.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:15
通讯大数据维护工程师,西安中兴精诚通讯有限公司,沈阳,7000-14000元,经验不限,本科,,一、专业要求|优先招聘以下本科专业：|1. 数据科学与大数据技术|2. 计算机科学与技术|3. 软件工程|4. 信息与计算科学|5. 网络工程/信息安全|6.，通信工程/电子信息工程|二、核心能力|1. 熟悉Linux基础操作，能进行日常服务启停、日志排查|2. 了解MySQL等关系型数据库，会基本SQL查询|3. 了解大数据基础组件（Hadoop/Hive/Spark/Kafka任一即可），有实操优先|4. 具备基础排查问题、处理异常的能力，细心负责|5. 学习能力强，能快速适应平台运维、数据巡检、任务监控等工作|三、素质要求|1. 工作踏实、责任心强，能适应运维值班/监控值守|2. 沟通顺畅，执行力强，稳定性高，愿意长期深耕运维/数据维护方向,http://www.zhaopin.com/jobdetail/CC142685850J40866059313.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:16
B端销售储备干部（全球科创大数据AI平台）,企知道大数据科技有限公司,重庆,1-1.5万·13薪,3-5年,大专,,一、岗位职责|1、熟悉公司产品，承接销售目标，制定并推进销售计划，对业绩结果负责|2、洞察市场与竞争对手动态，及时反馈信息并提出有效建议，助力团队销售策略优化|3、销售模式为电销+面销，介意勿投|二、任职要求|1、大专及以上学历，理工科专业优先|2、有丰富的B端客户开发经验（有SaaS售卖经验或客户群体以制造业为主者加分），有电销拓客经验|3、对当地企业生态和SaaS软件行业有一定的理解和认知，认可公司的产品及发展|4、具备较强的商务洽谈能力和敏锐的市场洞察能力，积极主动、吃苦耐劳，有强烈的事业心和目标感|三、薪资待遇：|1、薪资待遇：无责底薪6k-11k（面试定级定薪）+高额提成+绩效奖金等|2、晋升通道：路径清晰，专员-组长-主管-经理-城市负责人-区域总监|3、公司福利：六险一金、生日礼金、节日礼品及晚宴、免费体检、带薪年假、团建下午茶、结婚礼金等|4、备注：本岗位单休，介意勿投|四、选择企知道的理由 （网址：www.qizhidao.com）：|1、行业：优势新兴行业，国家政府大力支持，发展迅速|2、公司：集团性公司，全国60多家分公司，90后为主，氛围和谐轻松，发展好，机会多|3、个人成长：接触高端客户，接洽企业高管，提升能力、开拓视野,http://www.zhaopin.com/jobdetail/CCL1464680980J40918032008.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:18
大数据总监,爱谱华顿,上海,1.6-2.5万,5-10年,本科,,岗位职责：|1、负责制定公司大数据发展战略，规划大数据平台架构，推动大数据应用和业务创新；|领导和管理大数据团队，负责团队成员的培训、指导和评估；|2、负责大数据平台的技术选型、部署、维护和优化，确保数据安全、稳定和高效运行；|3、挖掘业务需求，设计大数据解决方案，为业务部门提供数据支持和技术服务；|4、跟踪大数据领域技术动态，进行技术研究，推动团队技术创新；|5、与其他部门协同合作，确保大数据项目按时完成并满足业务需求。|任职要求|1、计算机相关专业本科及以上学历，5年以上大数据领域工作经验；|2、熟悉大数据技术栈，包括Hadoop、Spark、Hive、HBase、Flink 等；|3、熟练掌握SQL、Python、Java等编程语言，具备优秀的数据处理和分析能力；|4、具备良好的数据敏感度和业务理解能力，能够从海量数据中发现和解读规律；|5、具备较强的团队管理能力和沟通协调能力，能够带领团队完成项目任务。,http://www.zhaopin.com/jobdetail/CC131100140J40883995012.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:21
大数据实施运维工程师,北京尚博信科技有限公司,广州,1-1.2万,5-10年,本科,,"1、具备CDH集群的组件部署, 节点扩容,资源优化等运维工作能力；|2、熟系linux操作系统命令，掌握shell脚本编写,具备自动化运维能力；|3、具备100+节点以上或pb级大数据集群运维经验；|4、熟悉操作系统应用常用命令，包括Linux、Windows等；|5、熟悉常用运维脚本语言，如Shell/Python/Golang等；|7、熟悉大型数据库技术和工具，包括Mysql、SQL Server、Oracle、PostgreSQL、MogonDB、Redis等；|8、熟悉星环大数据平台的开发工具及数据治理组件，如一站式开发平台Data Studio（TDS）、大数据基础平台TDH、实时流计算引擎Slipstream、分布式分析型数据库ArgoDB、数据集成工具Transporter，以及数据安全平台Defensor和专项治理工具Governor；|9、精通SQL和至少一种编程语言，熟悉常见数据开发管理平台、数据库、数据湖仓架构、数据可视化工具等。具备数据开发能力，能够独立处理复杂数据问题；|10、熟悉石油石化大型能源企业（中石油、中海油、中石化等）中下游业务、DCMM 标准、项目管理者优先.",http://www.zhaopin.com/jobdetail/CC219197610J40866015913.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:23
To B销售主管--薪酬上限高/大数据AI平台,企知道大数据科技有限公司,武汉,8000-16000元·14薪,3-5年,大专,,岗位职责：|1、负责团队的日常管理（包括但不限于早中晚会议召开、团队新人带教、团队日常工作安排、团队的帮扶和辅导、团队氛围营造、跟进团队过程和结果达成情况）；|2、持续学习企知道“科创空间”产品功能、优势、和竞品差异，以及涉及到的知识产权、产业政策、财税咨询等领域相关的专业知识；|3、负责带领团队通过电话、在线咨询、面谈等各种方式和渠道挖掘潜在客户，查找和准备客户资料，持续跟进邀约决策人；|4、根据客户情况，为客户制定产品规划方案，准备见客资料，现场谈判达成合作；|任职要求：|1、统招大专及以上，3-5年销售经验，有B端销售经验优先，有团队管理经验优先；|2、有过出色的成绩，积极进取，目标感强、韧性好，抗压能力优秀，学习能力和沟通表达能力良好；|3、对于新的行业和岗位有敬畏心、空杯心态，有志于在本行业长期发展；|薪资待遇：|1、底薪+高额提成（几千到十几万不等）+年终和年底奖金+优秀者匹配股权；|2、入职缴纳五险一金，转正增加商业保险；|3、各类大小节假日福利+每月下午茶+带薪年假+季度团建+年度体检+生日/转正/晋升/周年礼；|4、周边交通便利、办公环境高档舒适|备注：可登录网站https://qiye.qizhidao.com/了解企知道“科创空间”产品,http://www.zhaopin.com/jobdetail/CCL1464680980J40917072208.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:26
大数据开发（3年以上经验）,北京青钱信息技术有限公司,北京,1.4-1.6万,3-5年,本科,,北银金科项目，11月底到期；线上面试；自考本有毕业证也可以|工作技能：|1. 具有3年以上工作经验，具备数仓建模理论知识，熟悉范式建模和维度建模，能够进行数据模型设计（MAPPING和物理模型设计）；|2. 精通SQL语言，能够根据设计方案输出高质量代码，可以进行代码优化；|3. 精通常用数据库系统(Oracle/Mysql/Greenplum/hive/tidb)，有丰富的存储过程开发、SQL优化等数据开发经验优先；|4. 具有ETL工具使用经验、适配和开发异构数据的传输工具程序；|5. 熟悉金融业务知识，了解银行相关业务系统及系统间的数据关系；,http://www.zhaopin.com/jobdetail/CC337626410J40844054310.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:28
大数据应用测试工程师,北京三快在线科技有限公司,北京,面议,经验不限,本科,,"基础研发平台是美团的核心技术平台，立足于“零售+科技”的战略定位，通过打造人工智能、大数据、云计算、安全等核心技术能力，以及研发效能平台、企业应用平台等公共服务，为业务提供稳定安全、扩展易用、技术领先的平台技术和产品服务。|在这里，我们会参与到最前沿的技术研发和探索；能够接触超规模集群、海量数据，挑战高复杂业务场景，有机会与业界一流的工程师一起并肩前行。|在这里，我们有超强的技术氛围，持续向社区贡献业界实践，加速行业技术发展；我们有完善的互联网学习生态圈，重视底层逻辑和方法论，助力职业生涯的非线性成长。|真诚地邀请你，和我们一起驱动技术发展，创造行业价值。|岗位职责|1.负责大数据相关业务（数据引擎、数据中台、数据应用等）全流程的质量保证工作；|2.参与需求分析评审、系统设计、制定测试计划、设计和执行测试用例、开发维护自动化测试用例、把控项目进度和风险、分析和改进线上问题等；|3.根据项目需要，推动产品、设计、研发等角色，按时保质交付产品上线；|4.分析产品质量和研发过程质量，熟练应用质量相关工具，推动质量持续改进；|5.建设大数据稳定性测试体系，包括性能压测、可靠性、长稳、规格等，保障并支撑业务的稳定性指标达成，提升团队稳定性测试能力；|6.提升团队自动化开发效率、覆盖率、运营效果，结合AI在测试流程生命周期里解决能效问题，高效保障需求上线和质量保障工作；|岗位基本需求|1.计算机或相关专业本科及以上学历，有大数据测试经验者优先；|2.熟悉大数据相关组件，包括hadoop、spark,clickhouse等存算湖仓引擎；|3.熟悉数据中台和数据应用，进行过数据开发治理、BI报表、画像等数据平台和应用测试；|4.精通测试和质量理论知识，掌握稳定性测试方法并有相关的优秀实践；|5.能够指导团队开展各环节测试，沉淀切实有效的最佳实践，并推广应用辐射团队；|6.独立完成复杂专项测试，指导团队完成专项测试；|7.具有良好的编程能力（熟悉Java/Python至少一门语言），丰富的工具开发和自动化测试经验；|8.熟练使用Linux系统，具有实际测试环境搭建和维护管理的经验；|9.熟悉容器化平台（K8S），具有相关的测试和维护管理经验；|10.具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力；|11.能面对大数据的机遇与挑战，保持工作激情；|具备以下者优先|1.具有大数据相关测试经验优先；|2.熟悉Hadoop生态相关技术并有相关实践经验者优先，如Hdfs、Mapreduce、Hive、Hbase、Spark、Storm；|3.熟悉数据仓库领域知识和技能者优先，包括但不局限于：元数据管理、数据开发测试工具与方法、数据质量、主数据管理|4.具备自动化框架开发、AI agent、AI CODING开发实践者优先；|5.具备国际化出海测试经验者优先；|岗位亮点|1.有机会全身心地参与大数据测试体系建设工作中，体验并掌握大数据生态各个环节的核心技术要素；|2.有复杂的架构设计和算法逻辑实现，有承接面对上亿级的数据生态场景，每天处理PB级的数据平台，以及构建其上满足不同业务需求的丰富的数据产品；|3.这里有技术专业的数据团队，和技术大牛近距离接触，加入团队能够飞速成长；|4.在这里你可以和一群 geek 工程师一起解决技术难题，一起成长，一起体验激情创造的过程；",http://www.zhaopin.com/jobdetail/CC383625320J40828312209.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:29
销售主管/科创大数据,企知道大数据科技有限公司,嘉兴,1-1.5万,3-5年,大专,,【企知道科技】|国家级认证科创大数据 AI 平台，工信部认证科创服务类大数据产业发展试点示范项目，人民网・人民数据全面合作伙伴，国家级背书，平台硬实力拉满！|【你要做的事 —— 带队打胜仗，做团队主心骨】|1、挖掘、开拓中大型企业、高成长企业客户，深度对接企业高管与决策层，推进自主研发平台[科创空间]，解决知识产权全生命周期解决方案，打造标杆客户与长期合作体系；|2、全面负责销售团队的日常管理与业绩目标达成，制定团队销售计划、分解业绩指标，带领团队完成公司下达的回款目标，统筹区域销售全盘工作（自己也需要开发客户）；|3、负责团队搭建、人才培养，做好组员赋能、话术打磨、技能培训、过程管控，优化销售打法，提升团队人效与转化率；|4、实时把控行业动态、竞品情况与客户需求变化，向上反馈市场策略，优化团队作战方案，带领团队持续冲刺更高业绩，打造高绩效王牌战队；|【我们希望你 —— 有经验、能带兵、敢冲锋】|1、大专及以上学历，3 年及以上销售经验 + 1 年及以上销售团队管理经验（团队管理经验丰富、业绩突出者，条件可放宽）；|2、有独立谈单、面销、ToB、SaaS、知识产权、企业服务类销售管理经验者优先；|3、出色的团队领导力、谈判能力与抗压能力，逻辑清晰、目标感强；|【薪酬福利 —— 不画饼，真金白银 + 硬核保障】|1、薪资架构：无责底薪 + 团队提成 +年终奖，收入上不封顶，能力越强赚得越多！|2、入职即缴五险一金，转正升级六险一金；带薪年假、节日福利、生日惊喜、团建旅游、零食下午茶、年度体检，福利拉满；|【选择企知道，N个必来理由】|1、国家级风口赛道，政策大力扶持，行业天花板极高，做管理不内卷、有前景、好出成绩；|2、全国60+分公司，规模化大平台，体系成熟，资源充足，给管理足够的施展空间；|3、团队以 90后为主，氛围年轻轻松、简单直接，没有办公室政治，上下级沟通高效；|4、常年对接企业高管、高端客户，快速提升格局与人脉，个人商业视野直线拉升；|5、完善管理培训体系 + 高管1v1带教，从销售管理者到运营管理者，全方位赋能，快速晋升管理层高层；|6、专业中台、技术、运营、售后全线支撑，前端管理只管带队冲锋，无后顾之忧；|7、晋升超快、机制透明！不看资历、不卡年龄、不熬年限，每月一次晋升考核，能者直线上位！|想带团队、想做管理、想拿高薪、想长期发展的实力派，别犹豫，直接冲！这里有平台、有资源、有机制，只差一个带队的你！,http://www.zhaopin.com/jobdetail/CCL1464680980J40916877308.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:32
大数据工程师(J10287),深圳市凯度电器有限公司,深圳,2.5-3万,经验不限,硕士,,"岗位职责:|1、负责大数据平台设计和搭建；|2、负责从海量日志提取数据和数据分析，支持市场以及营销活动的数据需求；|3、负责用户画像分析；|4、负责设备画像分析；|5、根据业务目标进行数据建模、数据挖掘，学习、研究Hadoop及相关技术内核，并将其运用与实践；|任职要求:|1、计算机相关专业统招硕士及以上学历，3年以上大数据开发经验；|2、熟悉常用设计模式，掌握分布式服务、高扩展，高可用，高性能系统的设计与编码，大规模存储系统、实时及离线计算、数据仓库方面有经验者优先；|3、熟悉大数据生态包括不限于Hadoop/Spark/Hive/Hbase/Yarn/ClickHouse/ElasticSearch,并有相关项目开发经验；|4、熟悉流计算编程，熟练掌握Flink、Kafka、Flume等开源工具或框架；|5、熟悉数据ETL的流程和每个过程的关键数据处理方法和技巧，对OLAP报表及可视化有一定的了解；|6、熟练使用Java/Python/SQL等编程语言，具备良好软件敏捷开发习惯；",http://www.zhaopin.com/jobdetail/CC594191620J40926231615.htm?refcode=4019&srccode=401903&preactionid=d5334a9b-2ed9-4a08-9cc5-5adaf2363244,zhaopin,2026-03-13 17:42:34
